.	Achi_mil	Agro_sto	Aira_pra	Alop_gen	Anth_odo	Bell_per	Brom_hor	Chen_alb	Cirs_arv	Eleo_pal	Elym_rep	Empe_nig	Hypo_rad	Junc_art	Junc_buf	Leon_aut	Loli_per	Plan_lan	Poa_pra	Poa_tri	Pote_pal	Ranu_fla	Rume_ace	Sagi_pro	Sali_rep	Trif_pra	Trif_rep	Vici_lat	Brac_rut	Call_cus	
Samp1	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	7	0	4	2	0	0	0	0	0	0	0	0	0	0	
Samp2	3	0	0	2	0	3	4	0	0	0	4	0	0	0	0	5	5	0	4	7	0	0	0	0	0	0	5	0	0	0	
Samp3	0	4	0	7	0	2	0	0	0	0	4	0	0	0	0	2	6	0	5	6	0	0	0	0	0	0	2	0	2	0	
Samp4	0	8	0	2	0	2	3	0	2	0	4	0	0	0	0	2	5	0	4	5	0	0	0	5	0	0	1	0	2	0	
Samp5	2	0	0	0	4	2	2	0	0	0	4	0	0	0	0	3	2	5	2	6	0	0	5	0	0	2	2	0	2	0	
Samp6	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	6	5	3	4	0	0	6	0	0	5	5	0	6	0	
Samp7	2	0	0	0	2	0	2	0	0	0	0	0	0	0	2	3	6	5	4	5	0	0	3	0	0	2	2	0	2	0	
Samp8	0	4	0	5	0	0	0	0	0	4	0	0	0	4	0	3	4	0	4	4	0	2	0	2	0	0	2	0	2	0	
Samp9	0	3	0	3	0	0	0	0	0	0	6	0	0	4	4	2	2	0	4	5	0	0	2	2	0	0	3	0	2	0	
Samp10	4	0	0	0	4	2	4	0	0	0	0	0	0	0	0	3	6	3	4	4	0	0	0	0	0	0	6	1	2	0	
Samp11	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	7	3	4	0	0	0	0	2	0	0	3	2	4	0	
Samp12	0	4	0	8	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	4	0	0	2	4	0	0	3	0	4	0	
Samp13	0	5	0	5	0	0	0	1	0	0	0	0	0	0	3	2	0	0	2	9	0	2	0	2	0	0	2	0	0	0	
Samp14	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	2	2	0	0	0	0	6	0	0	4	
Samp15	0	4	0	0	0	0	0	0	0	5	0	0	0	3	0	2	0	0	0	0	2	2	0	0	0	0	1	0	4	0	
Samp16	0	7	0	4	0	0	0	0	0	8	0	0	0	3	0	0	0	0	0	2	0	2	0	0	0	0	0	0	4	3	
Samp17	2	0	2	0	4	0	0	0	0	0	0	0	2	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	
Samp18	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	2	3	3	0	0	0	0	0	3	0	2	1	6	0	
Samp19	0	0	3	0	4	0	0	0	0	0	0	2	5	0	0	6	0	0	0	0	0	0	0	3	3	0	2	0	3	0	
Samp20	0	5	0	0	0	0	0	0	0	4	0	0	0	4	0	2	0	0	0	0	0	4	0	0	5	0	0	0	4	0	
