,,L,T,K,F,R,N,S
,,L,T,K,F,R,N,S
1.......,1.......,7.1111111111111,5.3636363636364,7,5.2142857142857,NA,6.6666666666667,0.055555555555556
2.......,2.......,7.2142857142857,5.5555555555556,4.4545454545455,5.6538461538462,5.5714285714286,6,0.16666666666667
3.......,3.......,7.325,5.5789473684211,4.4736842105263,6.1071428571429,6.5555555555556,6.4473684210526,0.35
4.......,4.......,7.2,5.5625,4.5652173913043,5.56,6.5555555555556,5.953488372093,0.31111111111111
5.......,5.......,6.8974358974359,5.6,5.2222222222222,5.4705882352941,5,6.0333333333333,0.13953488372093
6.......,6.......,6.8888888888889,5,4.3333333333333,5,5,6.3448275862069,0.10416666666667
7.......,7.......,6.8684210526316,5.2,3.8,5.4166666666667,4.4285714285714,5.9310344827586,0.1
8.......,8.......,7.4,5.5555555555556,3.5454545454545,5.8529411764706,5.8333333333333,5.5294117647059,0.5
9.......,9.......,7.1666666666667,5.6,4.5454545454545,6.4642857142857,5.1818181818182,5.75,0.33333333333333
10......,10......,7.1025641025641,5.4615384615385,3.8333333333333,4.9583333333333,4.75,5.7352941176471,0.18604651162791
11......,11......,6.96875,5.3636363636364,3.7692307692308,4.6153846153846,4.8181818181818,5.64,0.125
12......,12......,7.3714285714286,5.6666666666667,3.7272727272727,6.3846153846154,5.8888888888889,6.0322580645161,0.68571428571429
13......,13......,7.1875,5.625,3.625,6.7692307692308,5.2857142857143,5.8787878787879,0.48484848484848
14......,14......,7.8333333333333,3,4.3333333333333,5.5714285714286,5,5,0.1
15......,15......,7.304347826087,NA,4.0666666666667,5.2222222222222,3.6666666666667,3.6428571428571,0.21739130434783
16......,16......,7.5757575757576,4.7142857142857,4.2173913043478,5.2307692307692,6.1111111111111,4.8333333333333,0.43333333333333
17......,17......,7.4545454545455,5.5,2.5,4.1111111111111,4.2,3.7777777777778,0.4
18......,18......,6.7037037037037,5.25,4.0833333333333,4.85,4.6666666666667,5.5333333333333,0
19......,19......,7.3703703703704,5.2727272727273,3.1764705882353,4.84,4.6190476190476,4,0.32258064516129
exc,20......,7.4193548387097,4.25,4.0909090909091,6.0769230769231,4.7777777777778,3.4,0.28571428571429
