ID,Ach_mil,Agr_sto,Air_pra,Alo_gen,Ant_odo,Bel_per,Bro_hor,Che_alb,Cir_arv,Ele_pal,Ely_rep,Emp_nig,Hyp_rad,Jun_art,Jun_buf,Leo_aut,Lol_per,Pla_lan,Poa_pra,Poa_tri,Pot_pal,Ran_fla,Rum_ace,Sag_pro,Sal_rep,Tri_pra,Tri_rep,Vic_lat,Bra_rut,Cal_cus
1_1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,4,2,0,0,0,0,0,0,0,0,0,0
1_2,3,0,0,2,0,3,4,0,0,0,4,0,0,0,0,5,5,0,4,7,0,0,0,0,0,0,5,0,0,0
2_1,0,4,0,7,0,2,0,0,0,0,4,0,0,0,0,2,6,0,5,6,0,0,0,0,0,0,2,0,2,0
2_2,0,3,0,3,0,0,0,0,0,0,6,0,0,4,4,2,2,0,4,5,0,0,2,2,0,0,3,0,2,0
3_1,2,0,0,0,4,2,2,0,0,0,4,0,0,0,0,3,2,5,2,6,0,0,5,0,0,2,2,0,2,0
3_2,2,0,0,0,2,0,2,0,0,0,0,0,0,0,2,3,6,5,4,5,0,0,3,0,0,2,2,0,2,0
4_1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,6,5,3,4,0,0,6,0,0,5,5,0,6,0
4_2,4,0,0,0,4,2,4,0,0,0,0,0,0,0,0,3,6,3,4,4,0,0,0,0,0,0,6,1,2,0
5_1,2,0,2,0,4,0,0,0,0,0,0,0,2,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0
5_2,0,0,3,0,4,0,0,0,0,0,0,2,5,0,0,6,0,0,0,0,0,0,0,3,3,0,2,0,3,0
6_1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,2,3,3,0,0,0,0,0,3,0,2,1,6,0
6_2,0,5,0,0,0,0,0,0,0,4,0,0,0,4,0,2,0,0,0,0,0,4,0,0,5,0,0,0,4,3
7_1,0,4,0,8,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,4,0,0,2,4,0,0,3,0,4,0
7_2,0,4,0,0,0,0,0,0,0,5,0,0,0,3,0,2,0,0,0,0,2,2,0,0,0,0,1,0,4,0
8_1,0,5,0,5,0,0,0,1,0,0,0,0,0,0,3,2,0,0,2,9,0,2,0,2,0,0,2,0,0,0
8_2,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,6,0,0,4
9_1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,7,3,4,0,0,0,0,2,0,0,3,2,4,0
9_2,0,7,0,4,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,3
10_1,0,8,0,2,0,2,3,0,2,0,4,0,0,0,0,2,5,0,4,5,0,0,0,5,0,0,1,0,2,0
10_2,0,4,0,5,0,0,0,0,0,4,0,0,0,4,0,3,4,0,4,4,0,2,0,2,0,0,2,0,2,0
