;Ach.mil;Agr.sto;Air.pra;Alo.gen;Ant.odo;Bel.per;Bra.rut;Bro.hor;Cal.cus;Che.alb;Cir.arv;Ele.pal;Ely.rep;Emp.nig;Hyp.rad;Jun.art;Jun.buf;Leo.aut;Lol.per;Pla.lan;Poa.pra;Poa.tri;Pot.pal;Ran.fla;Rum.ace;Sag.pro;Sal.rep;Tri.pra;Tri.rep;Vic.lat
1;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;7;0;4;2;0;0;0;0;0;0;0;0
2;3;0;0;2;0;3;0;4;0;0;0;0;4;0;0;0;0;5;5;0;4;7;0;0;0;0;0;0;5;0
3;0;4;0;7;0;2;2;0;0;0;0;0;4;0;0;0;0;2;6;0;5;6;0;0;0;0;0;0;2;0
4;0;8;0;2;0;2;2;3;0;0;2;0;4;0;0;0;0;2;5;0;4;5;0;0;0;5;0;0;1;0
5;2;0;0;0;4;2;2;2;0;0;0;0;4;0;0;0;0;3;2;5;2;6;0;0;5;0;0;2;2;0
6;2;0;0;0;3;0;6;0;0;0;0;0;0;0;0;0;0;3;6;5;3;4;0;0;6;0;0;5;5;0
7;2;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;2;3;6;5;4;5;0;0;3;0;0;2;2;0
8;0;4;0;5;0;0;2;0;0;0;0;4;0;0;0;4;0;3;4;0;4;4;0;2;0;2;0;0;2;0
9;0;3;0;3;0;0;2;0;0;0;0;0;6;0;0;4;4;2;2;0;4;5;0;0;2;2;0;0;3;0
10;4;0;0;0;4;2;2;4;0;0;0;0;0;0;0;0;0;3;6;3;4;4;0;0;0;0;0;0;6;1
11;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;5;7;3;4;0;0;0;0;2;0;0;3;2
12;0;4;0;8;0;0;4;0;0;0;0;0;0;0;0;0;4;2;0;0;0;4;0;0;2;4;0;0;3;0
13;0;5;0;5;0;0;0;0;0;1;0;0;0;0;0;0;3;2;0;0;2;9;0;2;0;2;0;0;2;0
14;0;4;0;0;0;0;0;0;4;0;0;4;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;6;0
15;0;4;0;0;0;0;4;0;0;0;0;5;0;0;0;3;0;2;0;0;0;0;2;2;0;0;0;0;1;0
16;0;7;0;4;0;0;4;0;3;0;0;8;0;0;0;3;0;0;0;0;0;2;0;2;0;0;0;0;0;0
17;2;0;2;0;4;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;1;0;0;0;0;0;0;0;0;0
18;0;0;0;0;0;2;6;0;0;0;0;0;0;0;0;0;0;5;2;3;3;0;0;0;0;0;3;0;2;1
19;0;0;3;0;4;0;3;0;0;0;0;0;0;2;5;0;0;6;0;0;0;0;0;0;0;3;3;0;2;0
20;0;5;0;0;0;0;4;0;3;0;0;4;0;0;0;4;0;2;0;0;0;0;0;4;0;0;5;0;0;0
