,,SF,BF,HF,NM,PrfGroup
Achillea millefolium,Ach mil,0.0069,0.3857,0.1785,0.0138,BF
Agrostis stolonifera,Agr sto,0.4723,0,0.068,0.1316,SF
Aira praecox,Air pra,0,0,0,0.3333,NM
Alopecurus geniculatus,Alo gen,0.5471,0.0337,0.097,0,SF
Anthoxanthum odoratum,Ant odo,0,0.0995,0.2418,0.0995,HF
Bellis perennis,Bel per,0.0725,0.3623,0.0261,0.0181,BF
Bromus hordaceus,Bro hor,0.021,0.4482,0.0807,0,BF
Chenopodium album,Che alb,0.1667,0,0,0,SF
Cirsium arvense,Cir arv,0.1667,0,0,0,SF
Eleocharis palustris,Ele pal,0.0517,0,0.0372,0.2519,NM
Elytrigia repens,Ely rep,0.1875,0.0833,0.15,0,SF
Empetrum nigrum,Emp nig,0,0,0,0.1667,NM
Hypochaeris radicata,Hyp rad,0,0.1212,0,0.2121,NM
Juncus articulatus,Jun art,0.0255,0,0.1959,0.119,HF
Juncus buffonius,Jun buf,0.1643,0,0.2028,0,HF
Leontodon autumnalis,Leo aut,0.0764,0.3725,0.2407,0.2722,BF
Lolium perenne,Lol per,0.1125,0.45,0.3,0.0042,BF
Plantago lanceolata,Pla lan,0,0.2286,0.3086,0.0476,HF
Poa pratensis,Poa pra,0.1577,0.3785,0.3218,0.021,BF
Poa trivialis,Poa tri,0.3553,0.1861,0.3655,0,HF
Potentilla palustris,Pot pal,0,0,0,0.3333,NM
Ranunculus flammula,Ran fla,0.0926,0,0.0333,0.2778,NM
Rumex acetosa,Rum ace,0.0157,0,0.7245,0,HF
Sagina procumbens,Sag pro,0.2412,0.0585,0.0842,0.0219,SF
Salix repens,Sal rep,0,0,0,0.5,NM
Trifolium pratense,Tri pra,0,0,0.6,0,HF
Trifolium repens,Tri rep,0.0836,0.4389,0.2633,0.1149,BF
Vicia lathyroides,Vic lat,0,0.5714,0,0.0238,BF
Brachythecium rutabulum,Bra rut,0.1384,0.1384,0.2907,0.1961,HF
Calliergonella cuspidata,Cal cus,0.05,0,0,0.2333,NM
