Plot,L,T,K,F,R,N,S
1,7.111111111,5.363636364,7,5.214285714,,6.666666667,0.055555556
2,7.214285714,5.555555556,4.454545455,5.653846154,5.571428571,6,0.166666667
3,7.325,5.578947368,4.473684211,6.107142857,6.555555556,6.447368421,0.35
4,7.2,5.5625,4.565217391,5.56,6.555555556,5.953488372,0.311111111
5,6.897435897,5.6,5.222222222,5.470588235,5,6.033333333,0.139534884
6,6.888888889,5,4.333333333,5,5,6.344827586,0.104166667
7,6.868421053,5.2,3.8,5.416666667,4.428571429,5.931034483,0.1
8,7.4,5.555555556,3.545454545,5.852941176,5.833333333,5.529411765,0.5
9,7.166666667,5.6,4.545454545,6.464285714,5.181818182,5.75,0.333333333
10,7.102564103,5.461538462,3.833333333,4.958333333,4.75,5.735294118,0.186046512
11,6.96875,5.363636364,3.769230769,4.615384615,4.818181818,5.64,0.125
12,7.371428571,5.666666667,3.727272727,6.384615385,5.888888889,6.032258065,0.685714286
13,7.1875,5.625,3.625,6.769230769,5.285714286,5.878787879,0.484848485
14,7.833333333,3,4.333333333,5.571428571,5,5,0.1
15,7.304347826,,4.066666667,5.222222222,3.666666667,3.642857143,0.217391304
16,7.575757576,4.714285714,4.217391304,5.230769231,6.111111111,4.833333333,0.433333333
17,7.454545455,5.5,2.5,4.111111111,4.2,3.777777778,0.4
18,6.703703704,5.25,4.083333333,4.85,4.666666667,5.533333333,0
19,7.37037037,5.272727273,3.176470588,4.84,4.619047619,4,0.322580645
20,7.419354839,4.25,4.090909091,6.076923077,4.777777778,3.4,0.285714286
