ID,A1,Moisture,Use,Manure,Managment,Plot,Time,Treat
1_1,2.8,1,2,4,SF,1,1,C
1_2,3.5,1,2,2,BF,1,2,C
2_1,4.3,2,2,4,SF,2,1,C
2_2,3.7,4,1,1,HF,2,2,C
3_1,6.3,1,1,2,HF,3,1,C
3_2,2.8,1,3,3,HF,3,2,C
4_1,4.3,1,2,2,HF,4,1,C
4_2,3.3,2,1,1,BF,4,2,C
5_1,4,2,1,0,NM,5,1,C
5_2,3.7,5,1,0,NM,5,2,C
6_1,4.6,1,1,0,NM,6,1,C
6_2,3.5,5,1,0,NM,6,2,T
7_1,5.8,4,2,2,SF,7,1,C
7_2,11.5,5,2,0,NM,7,2,T
8_1,6,5,2,3,SF,8,1,C
8_2,9.3,5,3,0,NM,8,2,T
9_1,3.5,1,3,1,BF,9,1,C
9_2,5.7,5,3,3,SF,9,2,T
10_1,4.2,2,2,4,SF,10,1,C
10_2,4.2,5,3,3,HF,10,2,T
