ID,Ach_mil,Agr_sto,Air_pra,Alo_gen,Ant_odo,Bel_per,Bro_hor,Che_alb,Cir_arv,Ele_pal,Ely_rep,Emp_nig,Hyp_rad,Jun_art,Jun_buf,Leo_aut,Lol_per,Pla_lan,Poa_pra,Poa_tri,Pot_pal,Ran_fla,Rum_ace,Sag_pro,Sal_rep,Tri_pra,Tri_rep,Vic_lat,Bra_rut,Cal_cus
1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,4,2,0,0,0,0,0,0,0,0,0,0
2,3,0,0,2,0,3,4,0,0,0,4,0,0,0,0,5,5,0,4,7,0,0,0,0,0,0,5,0,0,0
3,0,4,0,7,0,2,0,0,0,0,4,0,0,0,0,2,6,0,5,6,0,0,0,0,0,0,2,0,2,0
4,0,8,0,2,0,2,3,0,2,0,4,0,0,0,0,2,5,0,4,5,0,0,0,5,0,0,1,0,2,0
5,2,0,0,0,4,2,2,0,0,0,4,0,0,0,0,3,2,5,2,6,0,0,5,0,0,2,2,0,2,0
6,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,6,5,3,4,0,0,6,0,0,5,5,0,6,0
7,2,0,0,0,2,0,2,0,0,0,0,0,0,0,2,3,6,5,4,5,0,0,3,0,0,2,2,0,2,0
8,0,4,0,5,0,0,0,0,0,4,0,0,0,4,0,3,4,0,4,4,0,2,0,2,0,0,2,0,2,0
9,0,3,0,3,0,0,0,0,0,0,6,0,0,4,4,2,2,0,4,5,0,0,2,2,0,0,3,0,2,0
10,4,0,0,0,4,2,4,0,0,0,0,0,0,0,0,3,6,3,4,4,0,0,0,0,0,0,6,1,2,0
11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,7,3,4,0,0,0,0,2,0,0,3,2,4,0
12,0,4,0,8,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,4,0,0,2,4,0,0,3,0,4,0
13,0,5,0,5,0,0,0,1,0,0,0,0,0,0,3,2,0,0,2,9,0,2,0,2,0,0,2,0,0,0
14,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,6,0,0,4
15,0,4,0,0,0,0,0,0,0,5,0,0,0,3,0,2,0,0,0,0,2,2,0,0,0,0,1,0,4,0
16,0,7,0,4,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,3
17,2,0,2,0,4,0,0,0,0,0,0,0,2,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,2,3,3,0,0,0,0,0,3,0,2,1,6,0
19,0,0,3,0,4,0,0,0,0,0,0,2,5,0,0,6,0,0,0,0,0,0,0,3,3,0,2,0,3,0
20,0,5,0,0,0,0,0,0,0,4,0,0,0,4,0,2,0,0,0,0,0,4,0,0,5,0,0,0,4,3
